tracado_via
Reta
Curva
Não Informado
Interseção de vias
Rotatória
Desvio Temporário
Interseção de Vias
Reta;Declive
Retorno Regulamentado
Reta;Aclive
Curva;Declive
Declive
Aclive;Reta
Declive;Reta
Aclive
Viaduto
Reta;Interseção de Vias
Declive;Curva
Curva;Aclive
Ponte
Interseção de Vias;Reta
Aclive;Curva
Reta;Em Obras
Reta;Retorno Regulamentado
Reta;Ponte
Em Obras;Reta
Retorno Regulamentado;Reta
Em Obras
Ponte;Reta
Curva;Interseção de Vias
Reta;Viaduto
Túnel
Reta;Rotatória
Interseção de Vias;Rotatória
Interseção de Vias;Curva
Viaduto;Reta
Rotatória;Reta
Curva;Viaduto
Rotatória;Interseção de Vias
Curva;Retorno Regulamentado
Curva;Em Obras
Retorno Regulamentado;Curva
Curva;Rotatória
Viaduto;Curva
Interseção de Vias;Viaduto
Reta;Declive;Interseção de Vias
Interseção de Vias;Retorno Regulamentado
Retorno Regulamentado;Interseção de Vias
Desvio Temporário;Em Obras
Em Obras;Curva
Curva;Ponte
Aclive;Interseção de Vias
Declive;Interseção de Vias
Declive;Interseção de Vias;Reta
Reta;Interseção de Vias;Rotatória
Interseção de Vias;Declive
Reta;Interseção de Vias;Declive
Reta;Declive;Em Obras
Reta;Desvio Temporário;Em Obras
Reta;Declive;Viaduto
Viaduto;Interseção de Vias
Reta;Desvio Temporário
Reta;Interseção de Vias;Retorno Regulamentado
Rotatória;Curva
Reta;Retorno Regulamentado;Interseção de Vias
Reta;Interseção de Vias;Aclive
Declive;Reta;Interseção de Vias
Reta;Aclive;Viaduto
Aclive;Reta;Interseção de Vias
Aclive;Viaduto
Retorno Regulamentado;Reta;Interseção de Vias
Em Obras;Reta;Declive
Declive;Reta;Em Obras
Reta;Declive;Retorno Regulamentado
Viaduto;Reta;Aclive
Ponte;Curva
Aclive;Reta;Viaduto
Reta;Em Obras;Desvio Temporário
Reta;Aclive;Interseção de Vias
Interseção de Vias;Reta;Declive
Reta;Interseção de Vias;Em Obras
Declive;Viaduto
Rotatória;Reta;Interseção de Vias
Em Obras;Desvio Temporário
Reta;Aclive;Em Obras
Interseção de Vias;Declive;Reta
Retorno Regulamentado;Interseção de Vias;Reta
Interseção de Vias;Em Obras
Curva;Declive;Viaduto
Reta;Em Obras;Declive
Interseção de Vias;Aclive
Viaduto;Aclive
Declive;Em Obras
Aclive;Interseção de Vias;Reta
Aclive;Reta;Em Obras
Interseção de Vias;Rotatória;Reta
Interseção de Vias;Reta;Retorno Regulamentado
Aclive;Em Obras;Reta
Curva;Declive;Em Obras
Interseção de Vias;Aclive;Reta
Declive;Em Obras;Reta
Em Obras;Aclive;Reta
Aclive;Viaduto;Reta
Curva;Interseção de Vias;Declive
Declive;Ponte
Rotatória;Retorno Regulamentado
Desvio Temporário;Em Obras;Reta
Rotatória;Viaduto
Em Obras;Declive;Reta
Viaduto;Aclive;Reta
Em Obras;Reta;Desvio Temporário
Declive;Retorno Regulamentado
Interseção de Vias;Retorno Regulamentado;Reta
Retorno Regulamentado;Rotatória
Interseção de Vias;Reta;Rotatória
Reta;Rotatória;Interseção de Vias
Reta;Interseção de Vias;Viaduto
Declive;Retorno Regulamentado;Reta
Viaduto;Declive
Retorno Regulamentado;Declive
Em Obras;Declive;Curva
Em Obras;Declive
Em Obras;Interseção de Vias
Reta;Retorno Regulamentado;Declive
Interseção de Vias;Em Obras;Reta
Reta;Em Obras;Aclive
Desvio Temporário;Reta
Desvio Temporário;Reta;Em Obras
Em Obras;Desvio Temporário;Reta
Reta;Declive;Ponte
Declive;Viaduto;Reta
Retorno Regulamentado;Reta;Declive
Aclive;Em Obras
Interseção de Vias;Reta;Em Obras
Viaduto;Reta;Declive
Reta;Viaduto;Aclive
Declive;Ponte;Reta
Em Obras;Reta;Aclive
Declive;Reta;Ponte
Rotatória;Em Obras
Ponte;Declive
Reta;Em Obras;Interseção de Vias
Interseção de Vias;Reta;Aclive
Aclive;Retorno Regulamentado
Curva;Aclive;Interseção de Vias
Declive;Reta;Retorno Regulamentado
Retorno Regulamentado;Reta;Aclive
Curva;Ponte;Declive
Curva;Aclive;Viaduto
Declive;Curva;Viaduto
Curva;Declive;Ponte
Reta;Túnel
Reta;Ponte;Declive
Curva;Desvio Temporário
Aclive;Curva;Viaduto
Em Obras;Rotatória
Curva;Interseção de Vias;Rotatória
Curva;Declive;Interseção de Vias
Interseção de Vias;Reta;Viaduto
Reta;Aclive;Retorno Regulamentado
Viaduto;Rotatória
Interseção de Vias;Declive;Curva
Declive;Curva;Ponte
Rotatória;Interseção de Vias;Reta
Curva;Desvio Temporário;Em Obras
Declive;Interseção de Vias;Curva
Curva;Viaduto;Declive
Curva;Viaduto;Aclive
Em Obras;Interseção de Vias;Reta
Aclive;Curva;Interseção de Vias
Desvio Temporário;Curva;Em Obras
Reta;Retorno Regulamentado;Aclive
Interseção de Vias;Curva;Aclive
Retorno Regulamentado;Declive;Reta
Rotatória;Declive
Viaduto;Aclive;Curva
Reta;Viaduto;Declive
Curva;Aclive;Em Obras
Ponte;Reta;Declive
Em Obras;Reta;Interseção de Vias
Declive;Reta;Viaduto
Ponte;Declive;Curva
Viaduto;Declive;Curva
Em Obras;Curva;Declive
Declive;Viaduto;Curva
Viaduto;Curva;Aclive
Viaduto;Retorno Regulamentado
Aclive;Reta;Retorno Regulamentado
Retorno Regulamentado;Viaduto
Curva;Declive;Retorno Regulamentado
Rotatória;Viaduto;Interseção de Vias
Curva;Interseção de Vias;Aclive
Declive;Curva;Interseção de Vias
Viaduto;Declive;Reta
Curva;Em Obras;Declive
Reta;Em Obras;Ponte
Curva;Em Obras;Desvio Temporário
Em Obras;Aclive
Viaduto;Curva;Declive
Declive;Curva;Em Obras
Ponte;Declive;Reta
Aclive;Ponte;Reta
Interseção de Vias;Curva;Retorno Regulamentado
Declive;Rotatória
Aclive;Curva;Retorno Regulamentado
Ponte;Curva;Declive
Em Obras;Viaduto;Reta
Reta;Ponte;Aclive
Declive;Ponte;Curva
Em Obras;Ponte;Reta
Aclive;Rotatória
Desvio Temporário;Em Obras;Curva
Retorno Regulamentado;Declive;Curva
Declive;Curva;Retorno Regulamentado
Em Obras;Retorno Regulamentado;Reta
Rotatória;Interseção de Vias;Viaduto
Aclive;Interseção de Vias;Curva
Rotatória;Aclive
Aclive;Curva;Em Obras
Reta;Viaduto;Interseção de Vias
Aclive;Viaduto;Curva
Declive;Retorno Regulamentado;Curva
Interseção de Vias;Rotatória;Curva
Em Obras;Retorno Regulamentado
Retorno Regulamentado;Aclive;Reta
Retorno Regulamentado;Interseção de Vias;Rotatória
Interseção de Vias;Viaduto;Reta
Curva;Aclive;Retorno Regulamentado
Retorno Regulamentado;Curva;Declive
Curva;Retorno Regulamentado;Interseção de Vias
Interseção de Vias;Curva;Declive
Interseção de Vias;Rotatória;Viaduto
Retorno Regulamentado;Aclive
Retorno Regulamentado;Curva;Aclive
Em Obras;Curva;Desvio Temporário
Aclive;Retorno Regulamentado;Curva
Curva;Rotatória;Interseção de Vias
Curva;Túnel
Reta;Ponte;Em Obras
Viaduto;Reta;Interseção de Vias
Viaduto;Reta;Retorno Regulamentado
Interseção de Vias;Aclive;Curva
Curva;Rotatória;Declive
Reta;Em Obras;Viaduto
Declive;Em Obras;Curva
Em Obras;Viaduto
Reta;Em Obras;Retorno Regulamentado
Em Obras;Desvio Temporário;Curva
Ponte;Reta;Aclive
Viaduto;Reta;Em Obras
Curva;Retorno Regulamentado;Declive
Desvio Temporário;Curva
Interseção de Vias;Rotatória;Declive
Aclive;Retorno Regulamentado;Reta
Viaduto;Retorno Regulamentado;Curva
Retorno Regulamentado;Reta;Em Obras
Aclive;Reta;Ponte
Túnel;Reta
Curva;Retorno Regulamentado;Aclive
Curva;Interseção de Vias;Viaduto
Ponte;Em Obras;Reta
Em Obras;Reta;Viaduto
Interseção de Vias;Curva;Rotatória
Aclive;Reta;Rotatória
Reta;Retorno Regulamentado;Rotatória
Reta;Declive;Rotatória
Curva;Interseção de Vias;Retorno Regulamentado
Em Obras;Curva;Aclive
Curva;Em Obras;Aclive
Rotatória;Retorno Regulamentado;Reta;Interseção de Vias
Rotatória;Interseção de Vias;Retorno Regulamentado
Curva;Viaduto;Retorno Regulamentado
Interseção de Vias;Curva;Viaduto
Reta;Rotatória;Retorno Regulamentado
Em Obras;Aclive;Curva
Túnel;Curva
Declive;Interseção de Vias;Rotatória
Viaduto;Interseção de Vias;Reta
Rotatória;Retorno Regulamentado;Interseção de Vias
Retorno Regulamentado;Aclive;Curva
Aclive;Em Obras;Curva
Aclive;Desvio Temporário;Curva
Rotatória;Reta;Declive
Interseção de Vias;Viaduto;Rotatória
Aclive;Ponte
Reta;Aclive;Ponte
Rotatória;Interseção de Vias;Curva
Interseção de Vias;Retorno Regulamentado;Curva
Viaduto;Interseção de Vias;Curva
Viaduto;Interseção de Vias;Rotatória
Declive;Reta;Rotatória
Declive;Rotatória;Reta
Rotatória;Retorno Regulamentado;Reta
Interseção de Vias;Desvio Temporário
Rotatória;Reta;Retorno Regulamentado
Reta;Rotatória;Aclive
Em Obras;Reta;Retorno Regulamentado
Interseção de Vias;Declive;Retorno Regulamentado
Retorno Regulamentado;Interseção de Vias;Curva
Curva;Desvio Temporário;Declive
Retorno Regulamentado;Curva;Viaduto
Interseção de Vias;Ponte
Retorno Regulamentado;Em Obras
Interseção de Vias;Rotatória;Em Obras
Viaduto;Em Obras
Viaduto;Rotatória;Interseção de Vias
Retorno Regulamentado;Rotatória;Reta
Interseção de Vias;Rotatória;Retorno Regulamentado
Reta;Rotatória;Em Obras
Viaduto;Declive;Interseção de Vias
Desvio Temporário;Reta;Declive;Em Obras
Ponte;Aclive;Reta
Em Obras;Ponte
Curva;Aclive;Rotatória
Rotatória;Curva;Interseção de Vias
Reta;Viaduto;Em Obras
Reta;Rotatória;Viaduto
Reta;Aclive;Desvio Temporário
Interseção de Vias;Túnel
Declive;Rotatória;Curva
Reta;Retorno Regulamentado;Em Obras
Curva;Ponte;Aclive
Declive;Rotatória;Interseção de Vias
Declive;Desvio Temporário
Curva;Aclive;Ponte
Ponte;Aclive
Ponte;Reta;Em Obras
Interseção de Vias;Retorno Regulamentado;Viaduto
Viaduto;Curva;Retorno Regulamentado
Rotatória;Aclive;Reta
Aclive;Rotatória;Curva
Curva;Desvio Temporário;Aclive
Rotatória;Viaduto;Curva
Rotatória;Viaduto;Reta
Interseção de Vias;Rotatória;Reta;Retorno Regulamentado
Ponte;Interseção de Vias
Interseção de Vias;Desvio Temporário;Reta
Curva;Interseção de Vias;Em Obras
Reta;Em Obras;Interseção de Vias;Desvio Temporário
Interseção de Vias;Viaduto;Retorno Regulamentado
Em Obras;Reta;Ponte
Reta;Rotatória;Declive
